# aligned companion of POSNoise_PatternList_En_v2.1.txt; evidence: UD_English-EWT (33244 sentences) + target corpus (481265 tokens tagged)
# entry	upos	class	evidence_count	source
furthermore	ADV	ADV	4	ud
gave	VERB	LVERB	112	ud
generally	ADV	ADV	12	ud
generally speaking	ADV	MWE	12	ud
get	VERB	LVERB	1570	ud
gets	VERB	LVERB	40	ud
getting	VERB	LVERB	184	ud
give	VERB	LVERB	642	ud
given	VERB	LVERB	98	ud
given that	VERB	MWE	98	ud
given these points	VERB	MWE	98	ud
gives	VERB	LVERB	46	ud
giving	VERB	LVERB	56	ud
go	VERB	LVERB	1528	ud
goes	VERB	LVERB	56	ud
going	VERB	LVERB	492	ud
gone	VERB	LVERB	68	ud
got	VERB	LVERB	316	ud
gotten	VERB	LVERB	18	ud
granted	VERB	LVERB	12	ud
granted that	VERB	MWE	12	ud
had	VERB	LVERB	1188	ud
had better	VERB	MWE	1188	ud
hadn't	-	UNK	0	-
hardly	ADV	ADV	6	ud
has	AUX	AUX	1318	ud
hasn't	-	UNK	0	-
have	VERB	LVERB	6540	ud
have to	VERB	MWE	6540	ud
haven't	-	UNK	0	-
having	VERB	LVERB	166	ud
he	PRON	PRON	2538	ud
heaps of	-	MWE	0	ud
hear	VERB	LVERB	186	ud
heard	VERB	LVERB	82	ud
hears	VERB	LVERB	2	ud
he'd	-	UNK	0	-
he'll	-	UNK	0	-
help	VERB	LVERB	504	ud
helped	VERB	LVERB	42	ud
helping	VERB	LVERB	32	ud
helps	VERB	LVERB	34	ud
hence	ADV	ADV	14	ud
henceforth	ADV	ADV	15	corpus
hencefrom	-	UNK	0	-
her	PRON	PRON	522	ud
here	ADV	ADV	488	ud
here and there	ADV	MWE	488	ud
hereabout	-	UNK	0	-
hereabouts	ADV	ADV	1	corpus
hereafter	ADV	ADV	17	corpus
hereat	-	UNK	0	-
hereby	ADV	ADV	6	ud
herefor	-	UNK	0	-
herefore	-	UNK	0	-
herefrom	-	UNK	0	-
herein	ADV	ADV	10	ud
hereinafter	-	UNK	0	-
hereinbefore	-	UNK	0	-
hereinto	-	UNK	0	-
hereof	ADV	ADV	4	corpus
hereon	-	UNK	0	-
hereto	ADJ	ADV	1	corpus
heretofore	ADV	ADV	6	corpus
hereunder	-	UNK	0	-
hereunto	-	UNK	0	-
hereupon	-	UNK	0	-
herewith	ADV	ADV	2	ud
herewithal	-	UNK	0	-
herewithin	-	UNK	0	-
hers	PRON	PRON	4	ud
herself	PRON	PRON	12	ud
he's	-	UNK	0	-
him	PRON	PRON	648	ud
himself	PRON	PRON	38	ud
his	PRON	PRON	914	ud
hour	NOUN	OTH	178	ud
how	ADV	ADV	636	ud
how'd	-	UNK	0	-
however	ADV	ADV	214	ud
how'll	-	UNK	0	-
how's	-	UNK	0	-
i	PRON	PRON	10114	ud
i.e.	ADV	ADV	24	ud
i'd	SCONJ	SCONJ	2	ud
identically	-	UNK	0	-
if	SCONJ	SCONJ	1808	ud
i'll	-	UNK	0	-
i'm	-	UNK	0	-
immediately	ADV	ADV	48	ud
important to realize	ADJ	MWE	102	ud
in	ADP	ADP	7676	ud
in a moment	ADP	MWE	7676	ud
in a similar fashion	ADP	MWE	7676	ud
in a similar manner	ADP	MWE	7676	ud
in addition	ADP	MWE	7676	ud
in addition to	ADP	MWE	7676	ud
in any case	ADP	MWE	7676	ud
in any event	ADP	MWE	7676	ud
in back	ADP	MWE	7676	ud
in between	ADP	MWE	7676	ud
in brief	ADP	MWE	7676	ud
in case	ADP	MWE	7676	ud
in comparison	ADP	MWE	7676	ud
in comparison to	ADP	MWE	7676	ud
in conclusion	ADP	MWE	7676	ud
in contrast	ADP	MWE	7676	ud
in contrast to	ADP	MWE	7676	ud
in detail	ADP	MWE	7676	ud
in due time	ADP	MWE	7676	ud
in effect	ADP	MWE	7676	ud
in either case	ADP	MWE	7676	ud
in essence	ADP	MWE	7676	ud
in fact	ADP	MWE	7676	ud
in front	ADP	MWE	7676	ud
in front of	ADP	MWE	7676	ud
in general	ADP	MWE	7676	ud
in keeping with	ADP	MWE	7676	ud
in like fashion	ADP	MWE	7676	ud
in like manner	ADP	MWE	7676	ud
in most cases	ADP	MWE	7676	ud
in order that	ADP	MWE	7676	ud
in order to	ADP	MWE	7676	ud
in other words	ADP	MWE	7676	ud
in particular	ADP	MWE	7676	ud
in place of	ADP	MWE	7676	ud
in reality	ADP	MWE	7676	ud
in reference to	ADP	MWE	7676	ud
in regard to	ADP	MWE	7676	ud
in short	ADP	MWE	7676	ud
in similar fashion	ADP	MWE	7676	ud
in spite of	ADP	MWE	7676	ud
in sum	ADP	MWE	7676	ud
in summary	ADP	MWE	7676	ud
in that case	ADP	MWE	7676	ud
in the background	ADP	MWE	7676	ud
in the center	ADP	MWE	7676	ud
in the center of	ADP	MWE	7676	ud
in the distance	ADP	MWE	7676	ud
in the end	ADP	MWE	7676	ud
in the event that	ADP	MWE	7676	ud
in the first place	ADP	MWE	7676	ud
in the forefront	ADP	MWE	7676	ud
in the foreground	ADP	MWE	7676	ud
in the hope that	ADP	MWE	7676	ud
in the light of	ADP	MWE	7676	ud
in the long run	ADP	MWE	7676	ud
in the meantime	ADP	MWE	7676	ud
in the middle	ADP	MWE	7676	ud
in the same fashion	ADP	MWE	7676	ud
in the same way	ADP	MWE	7676	ud
in the second place	ADP	MWE	7676	ud
in this case	ADP	MWE	7676	ud
in time	ADP	MWE	7676	ud
in truth	ADP	MWE	7676	ud
in view of	ADP	MWE	7676	ud
inasmuch as	-	MWE	0	ud
incidentally	-	UNK	0	-
including	VERB	LVERB	108	ud
indeed	ADV	ADV	18	ud
inside	ADV	ADV	74	ud
instantly	ADV	ADV	2	ud
instead	ADV	ADV	80	ud
instead of	ADV	MWE	80	ud
into	ADP	ADP	484	ud
is	AUX	AUX	5688	ud
isn't	-	UNK	0	-
it	PRON	PRON	4586	ud
it is true	PRON	MWE	4586	ud
it should be highlighted	PRON	MWE	4586	ud
it should be noted	PRON	MWE	4586	ud
it'd	-	UNK	0	-
it'll	-	UNK	0	-
its	PRON	PRON	418	ud
it's	PRON	PRON	30	ud
itself	PRON	PRON	56	ud
i've	-	UNK	0	-
just	ADV	ADV	1004	ud
just as	ADV	MWE	1004	ud
keep	VERB	LVERB	328	ud
keeping	VERB	LVERB	36	ud
keeps	VERB	LVERB	16	ud
kept	VERB	LVERB	68	ud
knew	VERB	LVERB	54	ud
know	VERB	LVERB	1106	ud
knowing	VERB	LVERB	12	ud
known	VERB	LVERB	84	ud
knows	VERB	LVERB	48	ud
largely	ADV	ADV	18	ud
last	ADJ	OTH	362	ud
last but not least	ADJ	MWE	362	ud
lastly	ADV	ADV	5	corpus
lastly and most importantly	-	MWE	0	ud
late	ADV	ADV	260	ud
lately	ADV	ADV	6	ud
later	ADV	ADV	154	ud
leave	VERB	LVERB	324	ud
leaved	-	UNK	0	-
leaves	VERB	LVERB	10	ud
leaving	VERB	LVERB	48	ud
less	ADJ	ADV	108	ud
lest	SCONJ	SCONJ	6	ud
let	VERB	LVERB	452	ud
lets	VERB	LVERB	4	ud
letting	VERB	LVERB	8	ud
like	ADP	ADP	1142	ud
liked	VERB	LVERB	40	ud
likes	VERB	LVERB	18	ud
likewise	ADV	ADV	10	ud
liking	NOUN	OTH	15	corpus
little	ADJ	OTH	302	ud
live	VERB	LVERB	246	ud
lived	VERB	LVERB	26	ud
lives	NOUN	OTH	48	ud
living	VERB	LVERB	76	ud
loads	NOUN	OTH	4	ud
look	VERB	LVERB	656	ud
looked	VERB	LVERB	58	ud
looking	VERB	LVERB	230	ud
looks	VERB	LVERB	90	ud
lots	NOUN	OTH	88	ud
made	VERB	LVERB	340	ud
mainly	ADV	ADV	22	ud
make	VERB	LVERB	1018	ud
makes	VERB	LVERB	98	ud
making	VERB	LVERB	134	ud
many	ADJ	OTH	442	ud
markedly	ADV	ADV	2	ud
masses of	NOUN	MWE	4	ud
may	AUX	AUX	566	ud
mayest	VERB	LVERB	2	corpus
mayn't	-	UNK	0	-
me	PRON	PRON	1502	ud
mean	VERB	LVERB	216	ud
meaning	NOUN	OTH	24	ud
means	VERB	LVERB	108	ud
meant	VERB	LVERB	16	ud
meanwhile	ADV	ADV	14	ud
merely	ADV	ADV	20	ud
might	AUX	AUX	194	ud
mightn't	-	UNK	0	-
might've	-	UNK	0	-
mine	PRON	PRON	52	ud
minus	CCONJ	CCONJ	4	ud
more	ADJ	ADV	750	ud
moreover	ADV	ADV	4	ud
most	ADV	ADV	374	ud
most compelling evidence	ADV	MWE	374	ud
most important	ADV	MWE	374	ud
most importantly	ADV	MWE	374	ud
move	VERB	LVERB	226	ud
moved	VERB	LVERB	62	ud
moves	NOUN	OTH	6	ud
moving	VERB	LVERB	68	ud
much	ADJ	ADV	438	ud
must	AUX	AUX	160	ud
mustn't	-	UNK	0	-
must've	-	UNK	0	-
my	PRON	PRON	2282	ud
myself	PRON	PRON	66	ud
namely	ADV	ADV	2	corpus
naturally	ADV	ADV	4	ud
near	ADP	ADP	76	ud
near to	ADP	MWE	76	ud
nearby	ADJ	OTH	14	ud
nearer	ADJ	OTH	13	corpus
nearly	ADV	ADV	48	ud
need	VERB	LVERB	740	ud
need to	VERB	MWE	740	ud
needed	VERB	LVERB	90	ud
needing	VERB	LVERB	8	ud
needn't	-	UNK	0	-
needs	VERB	LVERB	138	ud
neighboring on	VERB	MWE	6	ud
neither	CCONJ	CCONJ	22	ud
never	ADV	ADV	354	ud
nevertheless	ADV	ADV	4	ud
next	ADJ	OTH	260	ud
next to	ADJ	MWE	260	ud
no	DET	DET	832	ud
no one	DET	MWE	832	ud
nobody	PRON	PRON	16	ud
none	PRON	PRON	40	ud
nonetheless	ADV	ADV	2	ud
nor	CCONJ	CCONJ	40	ud
normally	ADV	ADV	20	ud
not	PART	PART	4366	ud
not only	PART	MWE	4366	ud
not only-but also	PART	MWE	4366	ud
not to mention	PART	MWE	4366	ud
notably	ADV	ADV	2	ud
nothing	PRON	PRON	174	ud
notwithstanding	ADP	ADP	4	corpus
now	ADV	ADV	624	ud
now that	ADV	MWE	624	ud
nowhere	ADV	ADV	8	ud
numbers of	NOUN	MWE	56	ud
obviously	ADV	ADV	46	ud
occasionally	ADV	ADV	6	ud
of	ADP	ADP	8794	ud
of course	ADP	MWE	8794	ud
of less importance	ADP	MWE	8794	ud
off	ADP	ADP	312	ud
on	ADP	ADP	3212	ud
on account of	ADP	MWE	3212	ud
on balance	ADP	MWE	3212	ud
on one hand	ADP	MWE	3212	ud
on the condition that	ADP	MWE	3212	ud
on the contrary	ADP	MWE	3212	ud
on the negative side	ADP	MWE	3212	ud
on the one hand	ADP	MWE	3212	ud
on the other hand	ADP	MWE	3212	ud
on the positive side	ADP	MWE	3212	ud
on the side	ADP	MWE	3212	ud
on the whole	ADP	MWE	3212	ud
on this side	ADP	MWE	3212	ud
on top	ADP	MWE	3212	ud
on top of	ADP	MWE	3212	ud
once	ADV	ADV	172	ud
often	ADV	ADV	82	ud
one	NUM	NUM	1256	ud
one another	NUM	MWE	1256	ud
one fifth	NUM	MWE	1256	ud
one fourth	NUM	MWE	1256	ud
one half	NUM	MWE	1256	ud
one quarter	NUM	MWE	1256	ud
one third	NUM	MWE	1256	ud
only	ADV	ADV	646	ud
only if	ADV	MWE	646	ud
onto	ADP	ADP	22	ud
opposite	ADJ	OTH	6	ud
opposite to	ADJ	MWE	6	ud
or	CCONJ	CCONJ	1766	ud
ordinarily	ADV	ADV	4	ud
other	ADJ	OTH	766	ud
other than	ADJ	MWE	766	ud
otherwise	ADV	ADV	46	ud
ought	AUX	AUX	4	ud
ought to	AUX	MWE	4	ud
our	PRON	PRON	882	ud
ours	PRON	PRON	8	ud
ourselves	PRON	PRON	14	ud
out	ADP	ADP	1102	ud
out of	ADP	MWE	1102	ud
out of sight	ADP	MWE	1102	ud
outside	ADP	ADP	106	ud
over	ADP	ADP	484	ud
over there	ADP	MWE	484	ud
overall	ADV	ADV	52	ud
owing to	-	MWE	0	ud
part	NOUN	OTH	216	ud
particularly	ADV	ADV	32	ud
past	ADJ	OTH	88	ud
pending	VERB	LVERB	8	ud
per	ADP	ADP	146	ud
perhaps	ADV	ADV	62	ud
peripherally	-	UNK	0	-
pertaining to	-	MWE	0	ud
play	VERB	LVERB	148	ud
played	VERB	LVERB	12	ud
playing	VERB	LVERB	52	ud
plays	VERB	LVERB	14	ud
plenty of	NOUN	MWE	46	ud
plus	CCONJ	CCONJ	52	ud
precisely	ADV	ADV	10	ud
presently	ADV	ADV	4	ud
previously	ADV	ADV	16	ud
primarily	ADV	ADV	12	ud
possible	ADJ	OTH	140	ud
particular	ADJ	OTH	48	ud
well	ADV	ADV	668	ud
prior to	ADJ	MWE	38	ud
provided that	VERB	MWE	64	ud
purely	ADV	ADV	2	ud
pursuant to	ADV	MWE	4	ud
put	VERB	LVERB	358	ud
puts	NOUN	OTH	26	ud
putting	VERB	LVERB	46	ud
quantities of	-	MWE	0	ud
quickly	ADV	ADV	70	ud
quite	ADV	ADV	106	ud
ran	VERB	LVERB	26	ud
rarely	ADV	ADV	16	ud
rather	ADV	ADV	70	ud
rather than	ADV	MWE	70	ud
really	ADV	ADV	398	ud
recently	ADV	ADV	82	ud
regarding	VERB	LVERB	98	ud
regardless	ADV	ADV	10	ud
regularly	ADV	ADV	16	ud
respecting	VERB	LVERB	4	ud
round	NOUN	ADV	38	ud
run	VERB	LVERB	206	ud
running	VERB	LVERB	62	ud
runs	VERB	LVERB	10	ud
said	VERB	LVERB	562	ud
save	VERB	LVERB	86	ud
saving	VERB	LVERB	16	ud
saw	VERB	LVERB	60	ud
say	VERB	LVERB	1098	ud
saying	VERB	LVERB	76	ud
says	VERB	LVERB	140	ud
second	ADJ	OTH	122	ud
secondly	ADV	ADV	6	ud
see	VERB	LVERB	744	ud
seeing	VERB	LVERB	56	ud
seeing that	VERB	MWE	56	ud
seem	VERB	LVERB	200	ud
seemed	VERB	LVERB	30	ud
seeming	VERB	LVERB	5	corpus
seems	VERB	LVERB	98	ud
seen	VERB	LVERB	90	ud
sees	VERB	LVERB	8	ud
seldom	ADV	ADV	6	ud
set	VERB	LVERB	156	ud
sets	VERB	LVERB	14	ud
setting	VERB	LVERB	16	ud
several	ADJ	OTH	126	ud
shall	AUX	AUX	70	ud
shalled	-	UNK	0	-
shalling	-	UNK	0	-
shalls	NOUN	OTH	2	corpus
she	PRON	PRON	886	ud
she'd	-	UNK	0	-
she'll	-	UNK	0	-
she's	-	UNK	0	-
shortly	ADV	ADV	12	ud
should	AUX	AUX	616	ud
shoulded	-	UNK	0	-
shoulding	-	UNK	0	-
shouldn't	-	UNK	0	-
shoulds	-	UNK	0	-
should've	-	UNK	0	-
show	VERB	LVERB	256	ud
showed	VERB	LVERB	34	ud
showing	VERB	LVERB	32	ud
shown	VERB	LVERB	12	ud
shows	VERB	LVERB	62	ud
significantly	ADV	ADV	18	ud
similar to	ADJ	MWE	36	ud
similarly	ADV	ADV	2	ud
simply	ADV	ADV	66	ud
simultaneously	ADV	ADV	14	ud
since	SCONJ	SCONJ	308	ud
singularly	ADV	ADV	1	corpus
so	ADV	ADV	1332	ud
so as to	ADV	MWE	1332	ud
so far	ADV	MWE	1332	ud
so long as	ADV	MWE	1332	ud
so that	ADV	MWE	1332	ud
so then	ADV	MWE	1332	ud
so too	ADV	MWE	1332	ud
solely	ADV	ADV	8	ud
some	DET	DET	864	ud
somebody	PRON	PRON	16	ud
someone	PRON	PRON	176	ud
something	PRON	PRON	230	ud
sometimes	ADV	ADV	60	ud
soon	ADV	ADV	146	ud
sooner or later	ADV	MWE	16	ud
specifically	ADV	ADV	16	ud
start	VERB	LVERB	288	ud
started	VERB	LVERB	94	ud
starting	VERB	LVERB	48	ud
starts	VERB	LVERB	12	ud
still	ADV	ADV	346	ud
straight ahead	ADJ	MWE	20	ud
straightaway	-	UNK	0	-
subsequently	ADV	ADV	6	ud
such	ADJ	OTH	242	ud
such as	ADJ	MWE	242	ud
suddenly	ADV	ADV	14	ud
surely	ADV	ADV	4	ud
surprisingly	ADV	ADV	16	ud
surrounding	VERB	LVERB	22	ud
take	VERB	LVERB	984	ud
taken	VERB	LVERB	76	ud
takes	VERB	LVERB	52	ud
taking	VERB	LVERB	130	ud
talk	VERB	LVERB	246	ud
talked	VERB	LVERB	28	ud
talking	VERB	LVERB	74	ud
talks	NOUN	OTH	24	ud
tell	VERB	LVERB	438	ud
telling	VERB	LVERB	32	ud
tells	VERB	LVERB	10	ud
than	ADP	ADP	518	ud
thanks to	NOUN	MWE	560	ud
that	SCONJ	SCONJ	5190	ud
that is	SCONJ	MWE	5190	ud
that is to say	SCONJ	MWE	5190	ud
that'd	-	UNK	0	-
that'll	-	UNK	0	-
that's	-	UNK	0	-
the	DET	DET	22080	ud
the lack of	DET	MWE	22080	ud
the majority of	DET	MWE	22080	ud
the minority of	DET	MWE	22080	ud
the number of	DET	MWE	22080	ud
the plethora of	DET	MWE	22080	ud
the remainder of	DET	MWE	22080	ud
the rest of	DET	MWE	22080	ud
the whole	DET	MWE	22080	ud
their	PRON	PRON	1012	ud
theirs	PRON	PRON	4	ud
them	PRON	PRON	870	ud
themselves	PRON	PRON	54	ud
then	ADV	ADV	556	ud
then again	ADV	MWE	556	ud
thence	ADV	ADV	41	corpus
there	PRON	PRON	1494	ud
thereabout	NOUN	OTH	3	corpus
thereabouts	NOUN	OTH	3	corpus
thereacross	-	UNK	0	-
thereafter	ADV	ADV	6	ud
thereagainst	-	UNK	0	-
therearound	-	UNK	0	-
thereat	VERB	LVERB	2	corpus
therebeyond	-	UNK	0	-
thereby	ADV	ADV	6	ud
therefor	-	UNK	0	-
therefore	ADV	ADV	36	ud
therefrom	-	UNK	0	-
therein	ADV	ADV	16	corpus
thereinafter	-	UNK	0	-
thereinbefore	-	UNK	0	-
thereinto	-	UNK	0	-
thereof	ADV	ADV	20	corpus
thereon	NOUN	OTH	2	corpus
